Company Name,Exchange:Ticker,Country,Region,Primary Industry,AV Industry,AV Sector,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,IQ_LTM
Lotte Chemical Corporation (KOSE:A011170),KOSE:A011170,South Korea,Asia-Pacific,Commodity Chemicals,Resources/Process Material,Chemicals,$0 ,$677 ,$850 ,$863 ,"$1,072 ","$1,273 ","$2,064 ","$4,642 ","$4,879 ","$5,367 ","$6,595 ","$7,493 ","$10,812 ","$13,686 ","$13,863 ","$14,330 ","$12,953 ","$10,228 ",$0 ,"$10,681 "
UPM-Kymmene Oyj (HLSE:UPM1V),HLSE:UPM1V,Finland,Europe,Paper Products,Resources/Process Material,Paper & Pulp,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) ,(Invalid Identifier) 
Stora Enso Oyj (HLSE:STERV),HLSE:STERV,Finland,Europe,Paper Products,Resources/Process Material,Paper & Pulp,"$11,094 ","$11,200 ","$13,695 ","$14,212 ","$13,448 ","$12,822 ","$13,041 ","$13,874 ","$15,354 ","$14,070 ","$11,653 ","$9,452 ","$10,900 ","$11,536 ","$11,378 ","$11,140 ","$10,786 ","$10,727 ","$10,369 ","$10,369 "
R.R. Donnelley & Sons Company (NYSE:RRD),NYSE:RRD,United States,North America,Commercial Printing,Services,Printing,"$5,018 ","$5,183 ","$5,764 ","$5,298 ","$4,755 ","$4,787 ","$7,156 ","$8,430 ","$9,317 ","$11,587 ","$11,582 ","$9,857 ","$10,019 ","$10,611 ","$10,222 ","$10,480 ","$11,603 ","$11,257 ",$0 ,"$11,088 "
Synnex Technology International Corporation (TSEC:2347),TSEC:2347,Taiwan,Asia-Pacific,Technology Distributors,TIME,SW & Computer Services,$0 ,"$1,664 ","$1,944 ","$2,112 ","$2,721 ","$3,502 ","$4,343 ","$4,519 ","$4,608 ","$5,537 ","$6,151 ","$7,146 ","$8,830 ","$10,058 ","$10,120 ","$10,692 ","$10,733 ","$10,452 ",$0 ,"$11,210 "
"Ajinomoto Co., Inc. (TSE:2802)",TSE:2802,Japan,Asia-Pacific,Packaged Foods and Meats,Resources/Process Material,Food,"$7,309 ","$7,121 ","$7,251 ","$7,943 ","$8,249 ","$8,635 ","$9,089 ","$9,381 ","$9,677 ","$10,129 ","$10,636 ","$10,407 ","$10,237 ","$10,559 ","$10,468 ","$10,250 ","$8,667 ","$8,776 ","$10,369 ","$9,569 "
Seagate Technology plc (NasdaqGS:STX),NasdaqGS:STX,Ireland,Europe,"Technology Hardware, Storage and Peripherals",TIME,Tech HW Equipment,"$6,819 ","$6,802 ","$6,448 ","$5,966 ","$6,087 ","$6,486 ","$6,224 ","$7,553 ","$9,206 ","$11,360 ","$12,708 ","$9,805 ","$11,395 ","$10,971 ","$14,939 ","$14,351 ","$13,724 ","$13,739 ","$11,160 ","$10,940 "
Air Canada (TSX:AC),TSX:AC,Canada,North America,Airlines,Services,Airlines,"$4,433 ","$4,864 ","$6,937 ","$7,182 ","$7,342 ","$6,253 ","$6,573 ","$7,067 ","$7,597 ","$7,920 ","$8,281 ","$7,277 ","$8,060 ","$8,677 ","$9,057 ","$9,252 ","$9,917 ","$10,307 ","$10,967 ","$10,967 "
Singapore Airlines Limited (SGX:C6L),SGX:C6L,Singapore,Asia-Pacific,Airlines,Services,Airlines,"$5,472 ","$5,523 ","$6,304 ","$6,959 ","$6,639 ","$7,449 ","$6,915 ","$8,510 ","$9,451 ","$10,268 ","$11,315 ","$11,332 ","$9,002 ","$10,289 ","$10,525 ","$10,696 ","$10,799 ","$11,022 ","$10,788 ","$10,525 "
Unum Group (NYSE:UNM),NYSE:UNM,United States,North America,Life and Health Insurance,Services,Insurance,"$3,938 ","$9,330 ","$9,432 ","$9,395 ","$9,613 ","$9,992 ","$10,465 ","$10,437 ","$10,535 ","$10,520 ","$9,982 ","$10,091 ","$10,193 ","$10,278 ","$10,515 ","$10,354 ","$10,510 ","$10,731 ","$11,047 ","$11,047 "
