Company Name,Exchange:Ticker,Country,Region,Primary Industry,AV Industry,AV Sector,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,IQ_LTM
TOA Corporation (TSE:1885),TSE:1885,Japan,Asia-Pacific,Construction and Engineering,Engineering,Construction,"$2,580 ","$2,252 ","$2,333 ","$2,576 ","$2,526 ","$2,080 ","$1,829 ","$1,759 ","$1,946 ","$1,649 ","$1,869 ","$1,801 ","$1,664 ","$1,441 ","$1,189 ","$1,407 ","$1,684 ","$1,734 ","$1,751 ","$1,472 "
Ocean Rig UDW Inc. (NasdaqGS:ORIG),NasdaqGS:ORIG,Cyprus,Europe,Oil and Gas Drilling,Resources/Process Material,Oil & Gas,$2 ,$2 ,$2 ,$1 ,$63 ,$86 ,$89 ,$195 ,$217 ,$209 ,$202 ,$374 ,$403 ,$700 ,$942 ,"$1,180 ","$1,817 ","$1,748 ",$0 ,"$1,771 "
"Hefei Meiling Co., Ltd. (SZSE:200521)",SZSE:200521,China,Asia-Pacific,Household Appliances,Engineering,White Goods,$172 ,$180 ,$186 ,$183 ,$180 ,$202 ,$209 ,$294 ,$401 ,$567 ,$630 ,$918 ,"$1,195 ","$1,307 ","$1,351 ","$1,530 ","$1,563 ","$1,507 ",$0 ,"$1,715 "
Beijing Jingkelong Company Limited (SEHK:814),SEHK:814,China,Asia-Pacific,Food Retail,Services,Retail,$0 ,$0 ,$0 ,$0 ,$0 ,$420 ,$518 ,$598 ,$658 ,$819 ,$972 ,$972 ,"$1,080 ","$1,253 ","$1,333 ","$1,511 ","$1,581 ","$1,668 ",$0 ,"$1,714 "
Tessenderlo Chemie NV (ENXTBR:TESB),ENXTBR:TESB,Belgium,Europe,Diversified Chemicals,Resources/Process Material,Chemicals,"$1,650 ","$1,655 ","$1,915 ","$1,992 ","$2,039 ","$2,103 ","$2,227 ","$2,261 ","$2,355 ","$2,531 ","$2,909 ","$2,203 ","$2,554 ","$2,237 ","$2,241 ","$1,883 ","$1,509 ","$1,689 ",$0 ,"$1,677 "
"Adastria Co., Ltd. (TSE:2685)",TSE:2685,Japan,Asia-Pacific,Apparel Retail,Services,Retail,$0 ,$88 ,$94 ,$106 ,$136 ,$181 ,$244 ,$330 ,$429 ,$539 ,$646 ,$758 ,$854 ,$926 ,"$1,006 ","$1,064 ","$1,340 ","$1,609 ","$1,749 ","$1,767 "
E-L Financial Corporation Limited (TSX:ELF),TSX:ELF,Canada,North America,Life and Health Insurance,Services,Insurance,$829 ,$886 ,$947 ,$977 ,"$1,031 ","$1,235 ","$1,415 ","$1,645 ","$1,734 ","$1,616 ","$1,196 ","$1,609 ","$2,036 ","$2,096 ","$2,143 ","$1,229 ","$1,787 ","$1,479 ",$0 ,"$1,735 "
Stepan Company (NYSE:SCL),NYSE:SCL,United States,North America,Specialty Chemicals,Resources/Process Material,Chemicals,$610 ,$667 ,$699 ,$712 ,$749 ,$785 ,$936 ,"$1,078 ","$1,173 ","$1,330 ","$1,600 ","$1,276 ","$1,431 ","$1,843 ","$1,804 ","$1,881 ","$1,927 ","$1,776 ",$0 ,"$1,766 "
"The Children's Place, Inc. (NasdaqGS:PLCE)",NasdaqGS:PLCE,United States,North America,Apparel Retail,Services,Retail,$193 ,$284 ,$421 ,$587 ,$657 ,$671 ,$798 ,"$1,158 ","$1,669 ","$2,018 ","$2,163 ","$1,630 ","$1,644 ","$1,674 ","$1,716 ","$1,809 ","$1,766 ","$1,761 ","$1,726 ","$1,763 "
"Chubu Shiryo Co., Ltd. (TSE:2053)",TSE:2053,Japan,Asia-Pacific,Agricultural Products,Resources/Process Material,Food,$708 ,$681 ,$645 ,$613 ,$653 ,$717 ,$782 ,$844 ,$822 ,$907 ,"$1,103 ","$1,304 ","$1,087 ","$1,065 ","$1,183 ","$1,193 ","$1,337 ","$1,351 ","$1,488 ","$1,514 "
Super Group Limited (JSE:SPG),JSE:SPG,South Africa,Emerging,Automotive Retail,Services,Retail,$152 ,$229 ,$295 ,$344 ,$423 ,$460 ,$541 ,$641 ,$756 ,$885 ,$949 ,$546 ,$535 ,$599 ,$780 ,$896 ,"$1,093 ","$1,521 ","$1,984 ","$2,125 "
TOKAI Holdings Corporation (TSE:3167),TSE:3167,Japan,Asia-Pacific,Industrial Conglomerates,Engineering,Equipment Mech./Industrial,$901 ,$843 ,$894 ,$985 ,"$1,036 ","$1,081 ","$1,156 ","$1,222 ","$1,245 ","$1,354 ","$1,405 ","$1,449 ","$1,392 ","$1,529 ","$1,591 ","$1,588 ","$1,652 ","$1,635 ","$1,582 ","$1,559 "
ASM Pacific Technology Limited (SEHK:522),SEHK:522,Hong Kong,Asia-Pacific,Semiconductor Equipment,TIME,Tech HW Equipment,$171 ,$244 ,$514 ,$201 ,$238 ,$336 ,$493 ,$456 ,$587 ,$695 ,$677 ,$610 ,"$1,226 ","$1,664 ","$1,348 ","$1,397 ","$1,833 ","$1,671 ",$0 ,"$1,635 "
BPER Banca S.p.A. (BIT:BPE),BIT:BPE,Italy,Europe,Diversified Banks,Services,Financial Services,$671 ,$677 ,$531 ,$523 ,$0 ,"$1,523 ","$1,671 ","$1,594 ","$1,727 ","$2,136 ","$1,659 ","$1,642 ","$1,722 ","$1,857 ","$1,240 ","$1,371 ","$1,379 ","$1,687 ",$0 ,"$1,647 "
"NARI Technology Co., Ltd. (SHSE:600406)",SHSE:600406,China,Asia-Pacific,Heavy Electrical Equipment,Engineering,Equipment Mech./Industrial,$0 ,$0 ,$0 ,$0 ,$51 ,$54 ,$69 ,$109 ,$130 ,$157 ,$161 ,$258 ,$360 ,$677 ,$875 ,"$1,390 ","$1,293 ","$1,400 ",$0 ,"$1,704 "
RenaissanceRe Holdings Ltd. (NYSE:RNR),NYSE:RNR,Bermuda,Rest of World,Reinsurance,Services,Insurance,$261 ,$271 ,$349 ,$443 ,$907 ,"$1,353 ","$1,574 ","$1,651 ","$1,844 ","$1,662 ","$1,229 ","$1,681 ","$1,226 ","$1,102 ","$1,401 ","$1,379 ","$1,254 ","$1,518 ",$0 ,"$1,742 "
K-Electric Limited (KASE:KEL),KASE:KEL,Pakistan,Rest of World,Electric Utilities,Services,Utilities,$198 ,$223 ,$240 ,$270 ,$0 ,$0 ,$357 ,$368 ,$397 ,$428 ,$475 ,$813 ,$991 ,"$1,247 ","$1,553 ","$1,803 ","$1,857 ","$1,816 ",$0 ,"$1,756 "
Pennon Group Plc (LSE:PNN),LSE:PNN,United Kingdom,Europe,Water Utilities,Services,Utilities,$469 ,$537 ,$573 ,$506 ,$468 ,$512 ,$579 ,$680 ,$793 ,$919 ,"$1,074 ","$1,170 ","$1,312 ","$1,423 ","$1,514 ","$1,474 ","$1,622 ","$1,658 ","$1,660 ","$1,656 "
"Nissan Chemical Industries, Ltd. (TSE:4021)",TSE:4021,Japan,Asia-Pacific,Diversified Chemicals,Resources/Process Material,Chemicals,"$1,181 ","$1,136 ","$1,135 ","$1,190 ","$1,208 ","$1,328 ","$1,363 ","$1,411 ","$1,479 ","$1,524 ","$1,479 ","$1,400 ","$1,303 ","$1,348 ","$1,299 ","$1,345 ","$1,431 ","$1,493 ","$1,547 ","$1,535 "
Sato Shoji Corporation (TSE:8065),TSE:8065,Japan,Asia-Pacific,Trading Companies and Distributors,Services,Trading & Distribution,$0 ,$0 ,$797 ,$807 ,$696 ,$720 ,$847 ,"$1,020 ","$1,230 ","$1,331 ","$1,477 ","$1,452 ","$1,056 ","$1,319 ","$1,429 ","$1,401 ","$1,559 ","$1,636 ","$1,607 ","$1,555 "
"Overstock.com, Inc. (NasdaqGM:OSTK)",NasdaqGM:OSTK,United States,North America,Internet and Direct Marketing Retail,TIME,Online Retail,$0 ,$2 ,$26 ,$40 ,$92 ,$239 ,$495 ,$804 ,$788 ,$760 ,$834 ,$877 ,"$1,090 ","$1,054 ","$1,099 ","$1,304 ","$1,497 ","$1,658 ",$0 ,"$1,754 "
NuStar Energy L.P. (NYSE:NS),NYSE:NS,United States,North America,Oil and Gas Refining and Marketing,Resources/Process Material,Oil & Gas,$98 ,$110 ,$92 ,$99 ,$118 ,$181 ,$221 ,$660 ,"$1,136 ","$1,475 ","$4,829 ","$3,856 ","$4,403 ","$6,575 ","$5,956 ","$3,464 ","$3,075 ","$2,084 ",$0 ,"$1,757 "
Xi'an LONGI Silicon Materials Corp. (SHSE:601012),SHSE:601012,China,Asia-Pacific,Semiconductors,TIME,Tech HW Equipment,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$32 ,$0 ,$111 ,$240 ,$293 ,$248 ,$331 ,$534 ,$860 ,$0 ,"$1,694 "
Assured Guaranty Ltd. (NYSE:AGO),NYSE:AGO,Bermuda,Rest of World,Property and Casualty Insurance,Services,Insurance,$0 ,$0 ,$250 ,$393 ,$302 ,$512 ,$348 ,$295 ,$322 ,($299),$553 ,$873 ,"$1,430 ","$1,824 ",$952 ,"$1,602 ","$2,015 ","$2,008 ",$0 ,"$1,451 "
"Tangshan Jidong Cement Co.,Ltd. (SZSE:000401)",SZSE:000401,China,Asia-Pacific,Construction Materials,Engineering,Construction,$60 ,$80 ,$95 ,$146 ,$161 ,$207 ,$266 ,$335 ,$420 ,$560 ,$663 ,"$1,007 ","$1,606 ","$2,284 ","$2,122 ","$2,281 ","$2,274 ","$1,607 ",$0 ,"$1,693 "
Saudi Industrial Investment Group (SASE:2250),SASE:2250,Saudi Arabia,Rest of World,Commodity Chemicals,Resources/Process Material,Chemicals,$0 ,$0 ,$0 ,$0 ,$0 ,$196 ,$332 ,$309 ,$420 ,$389 ,$570 ,"$1,003 ","$1,320 ","$1,194 ","$1,482 ","$1,183 ","$2,095 ","$1,948 ",$0 ,"$1,749 "
"Nikkon Holdings Co., Ltd. (TSE:9072)",TSE:9072,Japan,Asia-Pacific,Trucking,Auto & Transportation,Freight & Logistics,$862 ,$814 ,$844 ,$926 ,$975 ,"$1,020 ","$1,033 ","$1,085 ","$1,177 ","$1,296 ","$1,342 ","$1,234 ","$1,016 ","$1,073 ","$1,143 ","$1,228 ","$1,444 ","$1,483 ","$1,522 ","$1,563 "
"FleetCor Technologies, Inc. (NYSE:FLT)",NYSE:FLT,United States,North America,Data Processing and Outsourced Services,TIME,SW & Computer Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$264 ,$341 ,$354 ,$434 ,$520 ,$708 ,$895 ,"$1,199 ","$1,703 ",$0 ,"$1,747 "
"Onoken Co., Ltd. (TSE:7414)",TSE:7414,Japan,Asia-Pacific,Trading Companies and Distributors,Services,Trading & Distribution,$0 ,$0 ,$0 ,$0 ,$0 ,$635 ,$725 ,$945 ,"$1,030 ","$1,160 ","$1,246 ","$1,467 ","$1,015 ","$1,169 ","$1,293 ","$1,311 ","$1,562 ","$1,660 ","$1,658 ","$1,503 "
Carpenter Technology Corporation (NYSE:CRS),NYSE:CRS,United States,North America,Steel,Resources/Process Material,Steel,"$1,177 ","$1,037 ","$1,096 ","$1,324 ",$977 ,$871 ,"$1,017 ","$1,314 ","$1,568 ","$1,945 ","$1,954 ","$1,362 ","$1,199 ","$1,675 ","$2,029 ","$2,272 ","$2,173 ","$2,227 ","$1,813 ","$1,730 "
Treasury Wine Estates Limited (ASX:TWE),ASX:TWE,Australia,Asia-Pacific,Distillers and Vintners,Resources/Process Material,Beverage,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,095 ","$1,118 ","$1,273 ","$1,310 ","$1,356 ","$1,490 ","$1,775 ","$1,950 "
"Par Pacific Holdings, Inc. (AMEX:PARR)",AMEX:PARR,United States,North America,Oil and Gas Refining and Marketing,Resources/Process Material,Oil & Gas,$2 ,$1 ,$4 ,$12 ,$8 ,$26 ,$37 ,$140 ,$181 ,$146 ,$259 ,$109 ,$144 ,$62 ,$24 ,$886 ,"$3,108 ","$2,066 ",$0 ,"$1,745 "
"LIG Nex1 Co., Ltd. (KOSE:A079550)",KOSE:A079550,South Korea,Asia-Pacific,Aerospace and Defense,Auto & Transportation,Aerospace,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$830 ,"$1,053 ","$1,221 ","$1,662 ",$0 ,"$1,671 "
Home Product Center Public Company Limited (SET:HMPRO),SET:HMPRO,Thailand,Asia-Pacific,Home Improvement Retail,Services,Retail,$0 ,$0 ,$0 ,$93 ,$132 ,$196 ,$286 ,$360 ,$431 ,$486 ,$566 ,$622 ,$740 ,$871 ,"$1,055 ","$1,222 ","$1,461 ","$1,596 ",$0 ,"$1,745 "
"The Hachijuni Bank, Ltd. (TSE:8359)",TSE:8359,Japan,Asia-Pacific,Regional Banks,Services,Financial Services,$0 ,"$1,195 ","$1,223 ","$1,414 ",$788 ,"$1,165 ","$1,396 ","$1,438 ","$1,453 ","$1,379 ","$1,466 ","$1,168 ","$1,290 ","$1,292 ","$1,282 ","$1,338 ","$1,393 ","$1,425 ","$1,476 ","$1,732 "
CrossAmerica Partners LP (NYSE:CAPL),NYSE:CAPL,United States,North America,Oil and Gas Storage and Transportation,Resources/Process Material,Oil & Gas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$822 ,"$1,198 ","$1,629 ","$1,884 ","$1,934 ","$2,669 ","$2,115 ",$0 ,"$1,741 "
Clearwater Paper Corporation (NYSE:CLW),NYSE:CLW,United States,North America,Paper Products,Resources/Process Material,Paper & Pulp,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$983 ,"$1,107 ","$1,173 ","$1,255 ","$1,250 ","$1,373 ","$1,928 ","$1,874 ","$1,890 ","$1,967 ","$1,752 ","$1,735 ","$1,735 "
Sociedad Anónima Importadora y Exportadora de la Patagonia (BASE:PATA),BASE:PATA,Argentina,Rest of World,Food Retail,Services,Retail,$28 ,$31 ,$36 ,$40 ,$66 ,$57 ,$67 ,$85 ,$109 ,$141 ,$200 ,$253 ,$308 ,$402 ,$524 ,$637 ,$873 ,"$1,204 ","$1,619 ","$1,836 "
Texhong Textile Group Limited (SEHK:2678),SEHK:2678,Hong Kong,Asia-Pacific,Textiles,Resources/Process Material,Textiles,$0 ,$0 ,$0 ,$50 ,$106 ,$150 ,$206 ,$278 ,$387 ,$472 ,$543 ,$594 ,$794 ,$998 ,"$1,066 ","$1,195 ","$1,520 ","$1,530 ",$0 ,"$1,677 "
Happinet Corporation (TSE:7552),TSE:7552,Japan,Asia-Pacific,Distributors,Services,Trading & Distribution,"$1,160 ",$961 ,$881 ,"$1,107 ","$1,232 ","$1,071 ","$1,073 ","$1,228 ","$1,361 ","$1,404 ","$1,477 ","$1,458 ","$1,698 ","$1,669 ","$1,731 ","$1,545 ","$1,809 ","$1,894 ","$1,637 ","$1,496 "
Dubai Islamic Bank P.J.S.C (DFM:DIB),DFM:DIB,United Arab Emirates,Rest of World,Diversified Banks,Services,Financial Services,$0 ,$0 ,$0 ,$217 ,$233 ,$291 ,$376 ,$449 ,$747 ,"$1,818 ","$1,368 ","$1,154 ","$1,060 ","$1,067 ",$726 ,$877 ,"$1,285 ","$1,655 ","$1,734 ","$1,734 "
"Hitejinro Holdings Co., Ltd. (KOSE:A000140)",KOSE:A000140,South Korea,Asia-Pacific,Brewers,Resources/Process Material,Beverage,$420 ,$485 ,$589 ,$673 ,$718 ,$751 ,"$2,465 ","$1,048 ","$1,596 ","$1,657 ",$959 ,"$1,844 ","$1,880 ","$1,841 ","$1,815 ","$1,694 ","$1,647 ","$1,683 ",$0 ,"$1,663 "
"Brown & Brown, Inc. (NYSE:BRO)",NYSE:BRO,United States,North America,Insurance Brokers,Services,Insurance,$154 ,$176 ,$210 ,$365 ,$456 ,$551 ,$647 ,$786 ,$876 ,$945 ,$977 ,$968 ,$968 ,"$1,006 ","$1,189 ","$1,356 ","$1,567 ","$1,657 ",$0 ,"$1,763 "
TransAlta Corporation (TSX:TA),TSX:TA,Canada,North America,Independent Power Producers and Energy Traders,Resources/Process Material,Energy,"$1,237 ",$769 ,"$1,186 ","$3,682 ","$1,288 ","$1,875 ","$2,121 ","$2,121 ","$2,090 ","$2,073 ","$2,324 ","$2,070 ","$2,106 ","$1,990 ","$1,690 ","$1,713 ","$1,960 ","$1,685 ",$0 ,"$1,700 "
"IDEXX Laboratories, Inc. (NasdaqGS:IDXX)",NasdaqGS:IDXX,United States,North America,Healthcare Equipment,Engineering,Medical Devices,$320 ,$356 ,$367 ,$386 ,$413 ,$476 ,$549 ,$638 ,$739 ,$923 ,"$1,024 ","$1,032 ","$1,103 ","$1,219 ","$1,293 ","$1,377 ","$1,486 ","$1,602 ","$1,775 ","$1,775 "
ElringKlinger AG (DB:ZIL2),DB:ZIL2,Germany,Europe,Auto Parts and Equipment,Auto & Transportation,Tier 1,$0 ,$285 ,$334 ,$390 ,$424 ,$445 ,$491 ,$499 ,$556 ,$639 ,$692 ,$609 ,$837 ,"$1,087 ","$1,186 ","$1,236 ","$1,395 ","$1,602 ",$0 ,"$1,620 "
PTG Energy Public Company Limited (SET:PTG),SET:PTG,Thailand,Asia-Pacific,Automotive Retail,Services,Retail,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,191 ","$1,361 ","$1,573 ","$1,523 ",$0 ,"$1,843 "
Systemax Inc. (NYSE:SYX),NYSE:SYX,United States,North America,Technology Distributors,TIME,SW & Computer Services,"$1,436 ","$1,754 ","$1,686 ","$1,547 ","$1,552 ","$1,658 ","$1,928 ","$2,116 ","$2,345 ","$2,780 ","$3,033 ","$3,166 ","$3,590 ","$3,682 ","$3,545 ","$3,352 ","$3,443 ","$1,855 ",$0 ,"$1,731 "
Wistron NeWeb Corporation (TSEC:6285),TSEC:6285,Taiwan,Asia-Pacific,Communications Equipment,TIME,Telecome Operators,$0 ,$0 ,$0 ,$114 ,$180 ,$250 ,$0 ,$500 ,$611 ,$570 ,$623 ,$515 ,$885 ,"$1,100 ","$1,115 ","$1,187 ","$1,306 ","$1,693 ",$0 ,"$1,755 "
InterContinental Hotels Group PLC (LSE:IHG),LSE:IHG,United Kingdom,Europe,"Hotels, Resorts and Cruise Lines",Services,Hotel,"$5,194 ","$5,752 ","$4,634 ","$4,951 ","$4,437 ","$2,642 ","$2,705 ","$1,046 ",$988 ,"$1,084 ","$1,854 ","$1,538 ","$1,628 ","$1,768 ","$1,835 ","$1,903 ","$1,858 ","$1,803 ",$0 ,"$1,726 "
TopBuild Corp. (NYSE:BLD),NYSE:BLD,United States,North America,Homebuilding,Engineering,Construction,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,208 ","$1,412 ","$1,512 ","$1,617 ",$0 ,"$1,743 "
"Banco Nacional de Crédito, C.A., Banco Universal (CCSE:BNC)",CCSE:BNC,Venezuela,Rest of World,Diversified Banks,Services,Financial Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$18 ,$33 ,$63 ,$113 ,$0 ,$40 ,$0 ,$0 ,$0 ,$258 ,$432 ,"$1,046 ",$0 ,"$1,725 "
Trusco Nakayama Corporation (TSE:9830),TSE:9830,Japan,Asia-Pacific,Trading Companies and Distributors,Services,Trading & Distribution,$936 ,$820 ,$838 ,$955 ,$895 ,$889 ,$934 ,"$1,029 ","$1,129 ","$1,172 ","$1,175 ","$1,045 ",$867 ,"$1,010 ","$1,136 ","$1,157 ","$1,367 ","$1,452 ",$0 ,"$1,527 "
"HITEJINRO Co., Ltd. (KOSE:A000080)",KOSE:A000080,South Korea,Asia-Pacific,Distillers and Vintners,Resources/Process Material,Beverage,$458 ,$583 ,$485 ,$752 ,$798 ,$0 ,$0 ,$0 ,$745 ,$746 ,$859 ,$854 ,$902 ,"$1,197 ","$1,774 ","$1,654 ","$1,632 ","$1,666 ",$0 ,"$1,651 "
JM AB (publ) (OM:JM),OM:JM,Sweden,Europe,Homebuilding,Engineering,Construction,$542 ,$679 ,$815 ,"$1,056 ","$1,037 ",$905 ,$947 ,"$1,118 ","$1,350 ","$1,425 ","$1,358 ",$979 ,"$1,011 ","$1,328 ","$1,377 ","$1,394 ","$1,572 ","$1,559 ",$0 ,"$1,629 "
"Cenveo, Inc. (NYSE:CVO)",NYSE:CVO,United States,North America,Commercial Printing,Services,Printing,"$1,505 ","$1,848 ","$2,425 ","$1,653 ","$1,729 ","$1,672 ","$1,743 ","$1,749 ","$1,511 ","$2,047 ","$2,099 ","$1,715 ","$1,815 ","$1,909 ","$1,798 ","$1,778 ","$1,949 ","$1,742 ",$0 ,"$1,660 "
"Nippon Densetsu Kogyo Co., Ltd. (TSE:1950)",TSE:1950,Japan,Asia-Pacific,Construction and Engineering,Engineering,Construction,"$1,257 ","$1,181 ","$1,252 ","$1,284 ","$1,381 ","$1,278 ","$1,274 ","$1,245 ","$1,214 ","$1,251 ","$1,349 ","$1,371 ","$1,357 ","$1,344 ","$1,319 ","$1,421 ","$1,488 ","$1,521 ","$1,523 ","$1,549 "
"TPR Co., Ltd. (TSE:6463)",TSE:6463,Japan,Asia-Pacific,Auto Parts and Equipment,Auto & Transportation,Tier 1,$285 ,$262 ,$274 ,$281 ,$268 ,$299 ,$326 ,$378 ,$424 ,$457 ,$508 ,$454 ,$385 ,$483 ,$542 ,"$1,168 ","$1,303 ","$1,446 ","$1,527 ","$1,531 "
"Beijing Kingee Culture Development Co., Ltd. (SZSE:002721)",SZSE:002721,China,Asia-Pacific,Gold,Resources/Process Material,Mining,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$324 ,$371 ,$426 ,$476 ,$874 ,"$1,105 ",$0 ,"$1,665 "
"Fujitec Co.,Ltd. (TSE:6406)",TSE:6406,Japan,Asia-Pacific,Industrial Machinery,Engineering,Equipment Mech./Industrial,$665 ,$730 ,$683 ,$710 ,$836 ,$856 ,$815 ,$810 ,$801 ,$916 ,$967 ,$941 ,$928 ,$892 ,$919 ,"$1,027 ","$1,286 ","$1,441 ","$1,549 ","$1,489 "
Massy Holdings Ltd. (TTSE:MASSY),TTSE:MASSY,Trinidad & Tobago,Rest of World,Industrial Conglomerates,Engineering,Equipment Mech./Industrial,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$625 ,$756 ,"$1,146 ","$1,253 ","$1,229 ","$1,264 ","$1,360 ","$1,397 ","$1,592 ","$1,773 ","$1,715 ","$1,714 "
"Popular, Inc. (NasdaqGS:BPOP)",NasdaqGS:BPOP,United States,North America,Regional Banks,Services,Financial Services,"$1,027 ","$1,178 ","$1,244 ","$1,329 ","$1,498 ","$1,715 ","$1,806 ","$2,014 ","$1,950 ","$1,581 ","$1,118 ",$592 ,$930 ,"$1,417 ","$1,430 ","$1,641 ","$1,061 ","$1,687 ",$0 ,"$1,717 "
"Harbin Bank Co., Ltd. (SEHK:6138)",SEHK:6138,China,Asia-Pacific,Regional Banks,Services,Financial Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$268 ,$283 ,$438 ,$666 ,"$1,000 ","$1,165 ","$1,406 ","$1,534 ",$0 ,"$1,657 "
"Echo Global Logistics, Inc. (NasdaqGS:ECHO)",NasdaqGS:ECHO,United States,North America,Air Freight and Logistics,Services,Freight & Logistics,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$7 ,$33 ,$95 ,$203 ,$260 ,$426 ,$603 ,$758 ,$884 ,"$1,173 ","$1,512 ",$0 ,"$1,716 "
"Saibu Gas Co., Ltd. (TSE:9536)",TSE:9536,Japan,Asia-Pacific,Gas Utilities,Services,Utilities,$867 ,$870 ,"$1,146 ","$1,184 ","$1,139 ","$1,147 ","$1,172 ","$1,191 ","$1,294 ","$1,342 ","$1,368 ","$1,469 ","$1,341 ","$1,424 ","$1,500 ","$1,569 ","$1,750 ","$1,819 ","$1,664 ","$1,485 "
Nichias Corporation (TSE:5393),TSE:5393,Japan,Asia-Pacific,Building Products,Engineering,Construction,"$1,089 ",$935 ,$911 ,$977 ,$914 ,$947 ,$929 ,"$1,052 ","$1,220 ","$1,440 ","$1,483 ","$1,305 ","$1,120 ","$1,260 ","$1,261 ","$1,198 ","$1,286 ","$1,386 ","$1,490 ","$1,554 "
"Sanki Engineering Co., Ltd. (TSE:1961)",TSE:1961,Japan,Asia-Pacific,Construction and Engineering,Engineering,Construction,"$2,318 ","$2,118 ","$1,800 ","$2,032 ","$2,066 ","$1,938 ","$1,870 ","$2,039 ","$2,078 ","$2,152 ","$2,225 ","$1,778 ","$1,392 ","$1,327 ","$1,294 ","$1,352 ","$1,499 ","$1,566 ","$1,564 ","$1,495 "
COGECO Inc. (TSX:CGO),TSX:CGO,Canada,North America,Cable and Satellite,TIME,Tech HW Equipment,$236 ,$268 ,$305 ,$358 ,$398 ,$451 ,$484 ,$505 ,$558 ,$800 ,$829 ,$936 ,$988 ,"$1,079 ","$1,051 ","$1,371 ","$1,566 ","$1,626 ","$1,724 ","$1,724 "
KAMAZ Publicly Traded Company (MISX:KMAZ),MISX:KMAZ,Russia,Emerging,Construction Machinery and Heavy Trucks,Auto & Transportation,Truck OEM,$0 ,$0 ,$0 ,$422 ,$398 ,$500 ,$793 ,$959 ,"$1,211 ","$1,659 ","$1,644 ","$1,039 ","$1,259 ","$1,822 ","$1,997 ","$1,950 ","$1,887 ","$1,651 ",$0 ,"$1,869 "
"Jizhong Energy Resources Co., Ltd (SZSE:000937)",SZSE:000937,China,Asia-Pacific,Coal and Consumable Fuels,Resources/Process Material,Energy,$126 ,$117 ,$130 ,$169 ,$203 ,$187 ,$350 ,$466 ,$536 ,$770 ,"$1,347 ","$2,940 ","$4,398 ","$5,455 ","$4,366 ","$3,751 ","$2,651 ","$1,813 ",$0 ,"$1,659 "
"Ningbo Huaxiang Electronic Co., Ltd. (SZSE:002048)",SZSE:002048,China,Asia-Pacific,Auto Parts and Equipment,Auto & Transportation,Tier 1,$0 ,$0 ,$0 ,$0 ,$22 ,$34 ,$38 ,$57 ,$215 ,$384 ,$390 ,$409 ,$484 ,$535 ,$813 ,"$1,059 ","$1,265 ","$1,419 ",$0 ,"$1,659 "
Check Point Software Technologies Ltd. (NasdaqGS:CHKP),NasdaqGS:CHKP,Israel,Rest of World,Systems Software,TIME,SW & Computer Services,$142 ,$220 ,$425 ,$528 ,$427 ,$433 ,$515 ,$579 ,$575 ,$731 ,$808 ,$924 ,"$1,098 ","$1,247 ","$1,343 ","$1,394 ","$1,496 ","$1,630 ",$0 ,"$1,630 "
Vesuvius plc (LSE:VSVS),LSE:VSVS,United Kingdom,Europe,Industrial Machinery,Engineering,Equipment Mech./Industrial,"$1,899 ","$2,256 ","$2,989 ","$2,368 ","$2,038 ","$1,943 ","$2,029 ","$1,818 ","$1,951 ","$1,988 ","$2,704 ","$2,407 ","$3,125 ","$3,469 ","$1,900 ","$1,854 ","$1,773 ","$1,615 ",$0 ,"$1,581 "
"Codere, S.A. (BME:CDR)",BME:CDR,Spain,Europe,Casinos and Gaming,Services,Entertainment,$0 ,$0 ,$0 ,$0 ,$0 ,$369 ,$415 ,$580 ,$800 ,$963 ,"$1,109 ","$1,018 ","$1,185 ","$1,440 ","$1,745 ","$1,619 ","$1,449 ","$1,733 ",$0 ,"$1,639 "
